file,ddg,distance
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_16.pdb,-15.960985,3.671790091505812
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_8.pdb,-14.004143,4.865229685587152
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_3.pdb,-13.798679,4.709547678373845
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_4.pdb,-13.662339,5.110142351578374
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_13.pdb,-13.220819,5.38946679160745
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_17.pdb,-12.400491,1.2995852142767153
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_6.pdb,-11.860408,4.535816025051859
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_14.pdb,-11.59598,5.193536251711302
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_9.pdb,-11.583084,5.430735586814075
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_12.pdb,-11.33703,7.795238403670648
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_15.pdb,-11.270077,5.651794498360453
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_5.pdb,-11.013783,6.461483460716839
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_7.pdb,-10.927233,5.170739982369806
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_1.pdb,-10.833708,3.0478752671804163
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_11.pdb,-10.680404,9.637262038903028
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_10.pdb,-10.218397,6.15592522136344
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_0.pdb,-9.919146,3.1193210271667513
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_2.pdb,-9.595023,4.947270796832459
4s0v_receptor_only_dc_aligned_ZINC000013372011_10_18.pdb,-9.563685,7.492276143430211
